call_id,rep_id,prescriber_id,call_date,feedback_score
1,REP0008,DOC03049,2025-06-24,4.0
2,REP0218,DOC03123,2025-12-14,4.0
3,REP0207,DOC01907,2025-10-16,1.0
4,REP0078,DOC02940,2025-05-13,3.0
5,REP0368,DOC03479,2025-12-24,3.0
6,REP0404,DOC00541,2026-03-12,5.0
7,REP0055,DOC00518,2025-07-04,8.0
8,REP0304,DOC04229,2026-05-13,
9,REP0467,DOC00424,2025-09-15,4.0
10,REP0440,DOC00858,2025-06-02,7.0
11,REP0481,DOC04178,2025-12-23,1.0
12,REP0228,DOC02837,2025-05-17,6.0
13,REP0088,DOC01753,2026-03-19,9.0
14,REP0010,DOC01667,2026-01-31,2.0
15,REP0308,DOC01864,2025-07-09,9.0
16,REP0434,DOC04462,2025-06-23,7.0
17,REP0290,DOC02414,2026-03-07,7.0
18,REP0164,DOC02119,2026-02-05,4.0
19,REP0239,DOC04422,2026-02-26,10.0
20,REP0317,DOC01350,2026-03-28,5.0
21,REP0484,DOC02892,2025-06-23,6.0
22,REP0144,DOC01071,2025-06-30,6.0
23,REP0335,DOC01754,2026-05-02,8.0
24,REP0018,DOC02137,2026-02-10,10.0
25,REP0071,DOC03859,2025-10-03,5.0
26,REP0175,DOC01421,2025-06-12,10.0
27,REP0342,DOC03488,2025-08-19,4.0
28,REP0288,DOC02942,2025-06-24,8.0
29,REP0299,DOC04266,2025-10-10,10.0
30,REP0339,DOC01389,2025-12-25,8.0
31,REP0424,DOC00620,2025-11-29,3.0
32,REP0248,DOC03400,2025-10-02,2.0
33,REP0193,DOC01257,2026-01-19,1.0
34,REP0419,DOC04778,2025-08-18,1.0
35,REP0325,DOC03719,2026-03-11,
36,REP0306,DOC01011,2026-02-19,10.0
37,REP0268,DOC02684,2026-04-22,2.0
38,REP0204,DOC00426,2025-12-21,3.0
39,REP0341,DOC04025,2025-07-14,3.0
40,REP0123,DOC00217,2026-05-07,7.0
41,REP0058,DOC00610,2025-12-12,6.0
42,REP0339,DOC04454,2026-01-08,
43,REP0447,DOC00186,2026-02-27,9.0
44,REP0201,DOC00725,2025-10-02,4.0
45,REP0491,DOC04966,2025-12-05,10.0
46,REP0433,DOC00824,2026-01-14,3.0
47,REP0112,DOC01768,2025-11-17,7.0
48,REP0128,DOC01978,2025-05-29,7.0
49,REP0036,DOC04775,2025-09-06,2.0
50,REP0234,DOC03890,2026-01-15,9.0
51,REP0310,DOC01185,2025-10-15,8.0
52,REP0047,DOC04380,2025-05-21,1.0
53,REP0115,DOC00184,2025-12-28,2.0
54,REP0416,DOC03609,2025-07-14,2.0
55,REP0255,DOC03767,2025-08-12,8.0
56,REP0483,DOC01620,2025-07-13,3.0
57,REP0223,DOC04327,2025-06-06,7.0
58,REP0124,DOC02436,2026-03-27,10.0
59,REP0437,DOC00735,2025-12-01,
60,REP0160,DOC00158,2026-02-16,2.0
61,REP0446,DOC01342,2026-02-04,9.0
62,REP0421,DOC03493,2025-09-28,9.0
63,REP0096,DOC03255,2025-08-22,7.0
64,REP0107,DOC01076,2025-10-08,4.0
65,REP0120,DOC01862,2025-10-08,1.0
66,REP0101,DOC02630,2026-02-07,8.0
67,REP0103,DOC05000,2025-09-09,9.0
68,REP0166,DOC02965,2025-11-25,8.0
69,REP0414,DOC00889,2026-04-16,2.0
70,REP0186,DOC01134,2026-03-27,7.0
71,REP0032,DOC04239,2025-12-01,10.0
72,REP0493,DOC04303,2025-10-18,1.0
73,REP0066,DOC00166,2025-09-09,5.0
74,REP0179,DOC03757,2025-11-05,8.0
75,REP0267,DOC04490,2025-12-14,9.0
76,REP0443,DOC00121,2025-07-10,10.0
